<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,17/09/18,10:21,107860.0000000,107890.0000000,107810.0000000,107810.0000000,29
SPFB.RTS-12.18,1,17/09/18,10:22,107810.0000000,107810.0000000,107750.0000000,107780.0000000,30
SPFB.RTS-12.18,1,17/09/18,10:23,107780.0000000,107800.0000000,107750.0000000,107770.0000000,22
SPFB.RTS-12.18,1,17/09/18,10:24,107780.0000000,107850.0000000,107780.0000000,107830.0000000,16
SPFB.RTS-12.18,1,17/09/18,10:25,107830.0000000,107830.0000000,107760.0000000,107760.0000000,39
SPFB.RTS-12.18,1,17/09/18,10:26,107750.0000000,107750.0000000,107680.0000000,107750.0000000,43
SPFB.RTS-12.18,1,17/09/18,10:27,107740.0000000,107790.0000000,107700.0000000,107730.0000000,107
SPFB.RTS-12.18,1,17/09/18,10:28,107730.0000000,107860.0000000,107730.0000000,107850.0000000,99
SPFB.RTS-12.18,1,17/09/18,10:29,107780.0000000,107800.0000000,107750.0000000,107800.0000000,72
SPFB.RTS-12.18,1,17/09/18,10:30,107860.0000000,107860.0000000,107810.0000000,107820.0000000,18
SPFB.RTS-12.18,1,17/09/18,10:31,107810.0000000,107900.0000000,107810.0000000,107860.0000000,48
SPFB.RTS-12.18,1,17/09/18,10:32,107890.0000000,107970.0000000,107890.0000000,107970.0000000,104
SPFB.RTS-12.18,1,17/09/18,10:33,107970.0000000,108010.0000000,107940.0000000,107970.0000000,154
SPFB.RTS-12.18,1,17/09/18,10:34,107980.0000000,108020.0000000,107960.0000000,108000.0000000,64
SPFB.RTS-12.18,1,17/09/18,10:35,107980.0000000,108080.0000000,107980.0000000,108030.0000000,49
SPFB.RTS-12.18,1,17/09/18,10:36,108030.0000000,108060.0000000,108010.0000000,108020.0000000,145
SPFB.RTS-12.18,1,17/09/18,10:37,108020.0000000,108060.0000000,108010.0000000,108040.0000000,33
SPFB.RTS-12.18,1,17/09/18,10:38,108060.0000000,108110.0000000,108020.0000000,108020.0000000,50
SPFB.RTS-12.18,1,17/09/18,10:39,108050.0000000,108090.0000000,108020.0000000,108050.0000000,16
SPFB.RTS-12.18,1,17/09/18,10:40,108050.0000000,108070.0000000,107990.0000000,108020.0000000,13
SPFB.RTS-12.18,1,17/09/18,10:41,108030.0000000,108040.0000000,107900.0000000,107930.0000000,78
SPFB.RTS-12.18,1,17/09/18,10:42,107920.0000000,107920.0000000,107880.0000000,107900.0000000,46
SPFB.RTS-12.18,1,17/09/18,10:43,107880.0000000,107920.0000000,107850.0000000,107920.0000000,66
SPFB.RTS-12.18,1,17/09/18,10:44,107910.0000000,107970.0000000,107910.0000000,107970.0000000,4
SPFB.RTS-12.18,1,17/09/18,10:45,107910.0000000,107960.0000000,107910.0000000,107960.0000000,13
SPFB.RTS-12.18,1,17/09/18,10:46,107930.0000000,107940.0000000,107910.0000000,107930.0000000,29
SPFB.RTS-12.18,1,17/09/18,10:47,107930.0000000,107940.0000000,107930.0000000,107940.0000000,16
SPFB.RTS-12.18,1,17/09/18,10:48,107900.0000000,107910.0000000,107880.0000000,107910.0000000,31
SPFB.RTS-12.18,1,17/09/18,10:49,107920.0000000,107930.0000000,107890.0000000,107890.0000000,15
SPFB.RTS-12.18,1,17/09/18,10:50,107850.0000000,107870.0000000,107850.0000000,107860.0000000,7
SPFB.RTS-12.18,1,17/09/18,10:51,107880.0000000,107880.0000000,107750.0000000,107800.0000000,88
SPFB.RTS-12.18,1,17/09/18,10:52,107800.0000000,107800.0000000,107710.0000000,107720.0000000,28
SPFB.RTS-12.18,1,17/09/18,10:53,107700.0000000,107790.0000000,107680.0000000,107770.0000000,129
SPFB.RTS-12.18,1,17/09/18,10:54,107780.0000000,107780.0000000,107540.0000000,107560.0000000,239
SPFB.RTS-12.18,1,17/09/18,10:55,107530.0000000,107560.0000000,107520.0000000,107540.0000000,217
SPFB.RTS-12.18,1,17/09/18,10:56,107540.0000000,107620.0000000,107540.0000000,107600.0000000,59
SPFB.RTS-12.18,1,17/09/18,10:57,107590.0000000,107630.0000000,107560.0000000,107600.0000000,24
SPFB.RTS-12.18,1,17/09/18,10:58,107640.0000000,107680.0000000,107640.0000000,107660.0000000,13
SPFB.RTS-12.18,1,17/09/18,10:59,107620.0000000,107640.0000000,107610.0000000,107640.0000000,18
SPFB.RTS-12.18,1,17/09/18,11:00,107620.0000000,107650.0000000,107560.0000000,107590.0000000,43
SPFB.RTS-12.18,1,17/09/18,11:01,107580.0000000,107590.0000000,107350.0000000,107430.0000000,334
SPFB.RTS-12.18,1,17/09/18,11:02,107430.0000000,107430.0000000,107350.0000000,107400.0000000,36
SPFB.RTS-12.18,1,17/09/18,11:03,107460.0000000,107480.0000000,107460.0000000,107480.0000000,3
SPFB.RTS-12.18,1,17/09/18,11:04,107400.0000000,107400.0000000,107400.0000000,107400.0000000,1
SPFB.RTS-12.18,1,17/09/18,11:05,107420.0000000,107420.0000000,107380.0000000,107420.0000000,36
SPFB.RTS-12.18,1,17/09/18,11:06,107430.0000000,107450.0000000,107430.0000000,107450.0000000,14
SPFB.RTS-12.18,1,17/09/18,11:07,107450.0000000,107450.0000000,107430.0000000,107430.0000000,7
SPFB.RTS-12.18,1,17/09/18,11:08,107410.0000000,107420.0000000,107370.0000000,107390.0000000,30
SPFB.RTS-12.18,1,17/09/18,11:09,107410.0000000,107430.0000000,107390.0000000,107390.0000000,16
